Columnas 2016;Renombre_2016;Columnas 2017;Renombre_2017;Columnas 2019;Renombre_2019;Columnas_2022;Renombre_2022
mdesemp_Avanzado;mdesemp_Avanzado;ap21_No;ap25b_No;ap04_Multimarca;ap05a_Multimarca;ap23_Sí_me_apoya_pero_no_me_ayuda_a_tomar_decisiones;ap44_Sí_me_apoya_pero_no_me_ayuda_a_tomar_decisiones
mdesemp_Básico;mdesemp_Básico;ap21_Sí_dos_veces;ap25b_Sí_dos_o_más_veces;ap04_No_disponible;ap05a_No_disponible;ap23_Sí_me_apoya_y_me_ayuda_a_tomar_decisiones;ap44_Sí_me_apoya_y_me_ayuda_a_tomar_decisiones
mdesemp_Por_debajo_de_básico;mdesemp_Por_debajo_del_nivel_básico;ap21_Sí_una_vez;ap25b_Sí_una_vez;ap05_Argentina;ap05b_En_Argentina;ap26_20_o_más_inasistencias;ap27_De_20_a_29_faltas
mdesemp_Satisfactorio;mdesemp_Satisfactorio;ap19_Blanco;ap24_Blanco;ap05_Blanco;ap05b_Blanco;ap26_De_5_a_9_inasistencias;ap27_De_5_a_14_faltas
ldesemp_Avanzado;ldesemp_Avanzado;ap19_Multimarca;ap24_Multimarca;ap05_Multimarca;ap05b_Multimarca;ap26_Menos_de_5_inasistencias;ap27_Menos_de_5_faltas
ldesemp_Básico;ldesemp_Básico;ap19_No_fui_al_jardín;ap24_No_no_fui_al_jardín;ap05_No_disponible;ap05b_No_disponible;ap26_Ninguna_inasistencia;ap27_Ninguna_falta
ldesemp_Por_debajo_del_Nivel_Básico;ldesemp_Por_debajo_del_nivel_básico;ap19_Sí_fui_al_jardín_antes_de_los_cuatro_años;ap24_Sí_desde_sala_de_3_o_antes;ap15_Blanco;ap19_Blanco;ap27a_Blanco;ap28a_Blanco
ldesemp_Satisfactorio;ldesemp_Satisfactorio;ap19_Sí_fui_al_jardín_desde_salita_de_4;ap24_Sí_desde_sala_de_4;ap15_De_1_a_50_libros;ap19_De_1_a_5_libros;ap27a_No_disponible;ap28a_No_disponible
;;ap19_Sí_fui_al_jardín_desde_salita_de_5;ap24_Sí_desde_sala_de_5;ap15_De_51_a_100_libros;ap19_De_51_a_100_libros;ap27a_No_selecciona;ap28a_No_selecciona
;;ap6_Blanco;ap11_Blanco;ap15_Multimarca;ap19_Multimarca;ap27a_Selecciona;ap28a_Selecciona
;;ap6_Cinco;ap11_5;ap15_Más_de_100_libros;ap19_Más_de_100_libros;ap27b_Blanco;ap28b_Blanco
;;ap6_Cuatro;ap11_4;ap15_No_disponible;ap19_No_disponible;ap27b_No_disponible;ap28b_No_disponible
;;ap6_Dos;ap11_2;ap15_No_hay_libros;ap19_No_hay_libros_en_formato_papel;ap27b_No_selecciona;ap28b_No_selecciona
